ID,Age,Gender,Age Group,Category,PC Group,Ascent,Descent,Finish,PC,Year_Overall_Place,Year_Gender_Place,Year_Age_Place,Year_Category_Place,Year_Overall%,Year_Gender%,Year_Age%,Year_Category%,Year,OverallPlace_CS_AT,GenderPlace_CS_AT,AgePlace_CS_AT,CategoryPlace_CS_AT,Overall%_CS_AT,Gender%_CS_AT,Age%_CS_AT,Category%_CS_AT
2480,24,F,20-29,F20-29,0.595,72.2,48.9916666666667,121.191666666667,0.595750532902427,42,16,17,8,0.25,0.407407407407407,0.260869565217391,0.333333333333333,2011,380,122,142,52,0.337979094076655,0.515873015873016,0.260416666666667,0.440860215053763
9674,29,F,20-29,F20-29,0.595,70.9833333333333,47.8166666666667,118.8,0.597502805836139,43,13,9,2,0.367647058823529,0.638888888888889,0.357142857142857,0.714285714285714,2013,354,109,136,46,0.383275261324042,0.567460317460317,0.291666666666667,0.505376344086022
4700,23,F,20-29,F20-29,0.595,70.3833333333333,47.5166666666667,117.9,0.596974837432853,44,13,16,4,0.521739130434783,0.711111111111111,0.272727272727273,0.555555555555556,2017,345,102,133,44,0.398954703832753,0.595238095238095,0.307291666666667,0.526881720430108
2004,23,F,20-29,F20-29,0.595,71.1333333333333,48.25,119.383333333333,0.595839731955884,26,8,12,5,0.469387755102041,0.619047619047619,0.294117647058824,0.444444444444444,2003,365,113,138,48,0.36411149825784,0.551587301587302,0.28125,0.483870967741935
5325,24,F,20-29,F20-29,0.595,69.1666666666667,47.545,116.711666666667,0.592628557556371,30,11,18,8,0.375,0.476190476190476,0.142857142857143,0.2,2008,337,98,129,41,0.412891986062718,0.611111111111111,0.328125,0.559139784946237
4309,23,F,20-29,F20-29,0.595,60.5833333333333,40.5233333333333,101.106666666667,0.599202162732428,16,4,10,3,0.609756097560976,0.80952380952381,0.444444444444444,0.7,2010,175,24,81,13,0.695121951219512,0.904761904761905,0.578125,0.860215053763441
9509,27,F,20-29,F20-29,0.595,59.5,40.6166666666667,100.116666666667,0.594306642250708,13,4,5,2,0.682926829268293,0.777777777777778,0.5,0.5,2007,164,23,73,12,0.714285714285714,0.908730158730159,0.619791666666667,0.870967741935484
2804,27,F,20-29,F20-29,0.595,58.65,39.4616666666667,98.1116666666667,0.597788234494708,13,3,9,1,0.729166666666667,0.857142857142857,0.571428571428571,0.9,2008,147,19,65,8,0.74390243902439,0.924603174603175,0.661458333333333,0.913978494623656
8789,25,F,20-29,F20-29,0.595,53.6,35.95,89.55,0.598548297040759,8,1,2,1,0.875,0.96875,0.833333333333333,0.833333333333333,2016,71,6,37,3,0.876306620209059,0.976190476190476,0.807291666666667,0.967741935483871
2030,25,F,20-29,F20-29,0.605,85.3,55.4133333333334,140.713333333333,0.606196996257166,70,28,18,10,0.156626506024096,0.222222222222222,0,0,2018,525,216,180,83,0.0853658536585366,0.142857142857143,0.0625,0.10752688172043
6870,29,F,20-29,F20-29,0.605,65.0333333333333,41.8500000000001,106.883333333333,0.608451582722594,32,8,8,3,0.659574468085106,0.80952380952381,0.5,0.625,2019,239,55,102,26,0.583623693379791,0.781746031746032,0.46875,0.720430107526882
5425,25,F,20-29,F20-29,0.605,64.75,42.4156666666667,107.165666666667,0.604204704865053,24,6,6,3,0.692307692307692,0.833333333333333,0.647058823529412,0.666666666666667,2020,242,57,103,27,0.578397212543554,0.773809523809524,0.463541666666667,0.709677419354839
1548,23,F,20-29,F20-29,0.605,82.9666666666667,54.9,137.866666666667,0.60178916827853,54,17,12,1,0.217391304347826,0.419354838709677,0.133333333333333,0.5,2015,504,201,176,80,0.121951219512195,0.202380952380952,0.0833333333333333,0.139784946236559
6873,26,F,20-29,F20-29,0.605,79.75,51.7,131.45,0.606694560669456,36,13,15,8,0.26530612244898,0.380952380952381,0.117647058823529,0.111111111111111,2003,455,167,165,71,0.207317073170732,0.337301587301587,0.140625,0.236559139784946
4357,22,F,20-29,F20-29,0.605,79.1166666666667,52,131.116666666667,0.603406635312063,41,15,10,4,0.196078431372549,0.285714285714286,0.166666666666667,0.333333333333333,2004,454,166,164,70,0.209059233449477,0.341269841269841,0.145833333333333,0.247311827956989
7686,25,F,20-29,F20-29,0.605,77.1666666666667,50.6833333333333,127.85,0.603571894146787,57,22,19,7,0.380434782608696,0.511111111111111,0.136363636363636,0.222222222222222,2017,431,151,160,66,0.249128919860627,0.400793650793651,0.166666666666667,0.290322580645161
7656,26,F,20-29,F20-29,0.605,75.9333333333333,49.25,125.183333333333,0.606577020370124,28,12,13,5,0.317073170731707,0.428571428571429,0.277777777777778,0.5,2010,410,138,155,62,0.285714285714286,0.452380952380952,0.192708333333333,0.333333333333333
2617,27,F,20-29,F20-29,0.605,75.8166666666667,49.37,125.186666666667,0.605628927468314,29,13,14,6,0.292682926829268,0.380952380952381,0.222222222222222,0.4,2010,411,139,156,63,0.28397212543554,0.448412698412698,0.1875,0.32258064516129
7996,29,F,20-29,F20-29,0.605,75.0166666666667,49.2933333333333,124.31,0.603464457136728,62,22,14,7,0.340425531914894,0.476190476190476,0.125,0.125,2019,402,132,151,58,0.299651567944251,0.476190476190476,0.213541666666667,0.376344086021505
2989,26,F,20-29,F20-29,0.605,74.8666666666667,49.2666666666667,124.133333333333,0.603114930182599,61,25,10,3,0.246913580246914,0.375,0.166666666666667,0.25,2014,397,130,149,56,0.308362369337979,0.484126984126984,0.223958333333333,0.397849462365591
3040,20,F,20-29,F20-29,0.605,74.4166666666667,48.7833333333333,123.2,0.604031385281385,50,18,11,4,0.264705882352941,0.5,0.214285714285714,0.428571428571429,2013,393,128,147,55,0.315331010452962,0.492063492063492,0.234375,0.408602150537634
3537,29,F,20-29,F20-29,0.605,73.1,47.7333333333333,120.833333333333,0.604965517241379,27,9,13,6,0.448979591836735,0.571428571428571,0.235294117647059,0.333333333333333,2003,375,119,140,50,0.346689895470383,0.527777777777778,0.270833333333333,0.462365591397849
5590,28,F,20-29,F20-29,0.605,72.5666666666667,47.8166666666667,120.383333333333,0.602796621902257,48,15,18,6,0.478260869565217,0.666666666666667,0.181818181818182,0.333333333333333,2017,372,117,139,49,0.35191637630662,0.535714285714286,0.276041666666667,0.473118279569892
9357,21,F,20-29,F20-29,0.605,71.7666666666667,46.9383333333333,118.705,0.604579981185853,45,16,14,6,0.457831325301205,0.555555555555556,0.222222222222222,0.4,2018,353,108,135,45,0.385017421602787,0.571428571428571,0.296875,0.516129032258065
6212,25,F,20-29,F20-29,0.605,70.7,46.1383333333333,116.838333333333,0.605109624409797,32,13,20,10,0.333333333333333,0.380952380952381,0.0476190476190476,0,2008,340,100,131,43,0.407665505226481,0.603174603174603,0.317708333333333,0.537634408602151
3594,24,F,20-29,F20-29,0.605,70.3833333333333,46.4216666666667,116.805,0.602571236961888,31,12,19,9,0.354166666666667,0.428571428571429,0.0952380952380952,0.1,2008,339,99,130,42,0.409407665505227,0.607142857142857,0.322916666666667,0.548387096774194
7755,23,F,20-29,F20-29,0.605,68.35,43.8833333333333,112.233333333333,0.608999108999109,29,8,7,1,0.431372549019608,0.619047619047619,0.416666666666667,0.833333333333333,2004,302,81,120,36,0.473867595818815,0.678571428571429,0.375,0.612903225806452
6764,24,F,20-29,F20-29,0.605,68.8333333333333,44.3216666666667,113.155,0.608310135065471,27,10,16,7,0.4375,0.523809523809524,0.238095238095238,0.3,2008,309,86,121,37,0.461672473867596,0.658730158730159,0.369791666666667,0.602150537634409
2438,27,F,20-29,F20-29,0.605,64.85,42.9716666666666,107.821666666667,0.6014561080797,29,9,13,4,0.482142857142857,0.666666666666667,0.434782608695652,0.666666666666667,2011,251,60,105,28,0.562717770034843,0.761904761904762,0.453125,0.698924731182796
9990,20,F,20-29,F20-29,0.605,63.8,40.8833333333333,104.683333333333,0.609457092819615,18,1,6,1,0.660377358490566,0.952380952380952,0.6,0.9,2002,216,42,95,20,0.623693379790941,0.833333333333333,0.505208333333333,0.78494623655914
7646,29,F,20-29,F20-29,0.605,63.4166666666667,41.0833333333333,104.5,0.606858054226475,39,10,14,4,0.506329113924051,0.705882352941177,0.263157894736842,0.5,2012,211,39,94,19,0.632404181184669,0.845238095238095,0.510416666666667,0.795698924731183
2901,25,F,20-29,F20-29,0.605,63.25,40.7166666666666,103.966666666667,0.608368066688041,36,9,13,3,0.544303797468354,0.735294117647059,0.315789473684211,0.625,2012,206,36,92,18,0.641114982578397,0.857142857142857,0.520833333333333,0.806451612903226
8274,23,F,20-29,F20-29,0.605,55.8333333333333,35.9866666666667,91.82,0.608073767516155,9,2,5,2,0.780487804878049,0.904761904761905,0.722222222222222,0.8,2010,87,9,41,4,0.848432055749129,0.964285714285714,0.786458333333333,0.956989247311828
3124,28,F,20-29,F20-29,0.605,53.7333333333333,35.595,89.3283333333333,0.601526204824897,7,1,4,1,0.829268292682927,0.952380952380952,0.777777777777778,0.9,2010,69,5,35,2,0.879790940766551,0.98015873015873,0.817708333333333,0.978494623655914
5202,23,F,20-29,F20-29,0.615,88.6,54.9833333333333,143.583333333333,0.617063261752757,73,32,20,8,0.206521739130435,0.288888888888889,0.0909090909090909,0.111111111111111,2017,533,223,182,85,0.0714285714285714,0.115079365079365,0.0520833333333333,0.0860215053763441
8415,22,F,20-29,F20-29,0.615,87.9666666666667,55.7833333333333,143.75,0.611942028985507,52,24,21,10,0.0714285714285714,0.111111111111111,0.0869565217391304,0.166666666666667,2011,534,224,183,86,0.0696864111498258,0.111111111111111,0.046875,0.0752688172043011
