ID,Age,Gender,Age_Group,Category,Ascent,Descent,Finish,PC,Year_Overall_Place,Year_Gender_Place,Year_Age_Place,Year_Category_Place,Year_Overall%,Year_Gender%,Year_Age%,Year_Category%,Year,AT_Place,AT_GenderPlace,AT_AgePlace,AT_CategoryPlace,AT_Overall%,AT_Gender% ,AT_Age%,AT_Category%,Personal Count,Personal Rank,Attempt#,Personal_Average,Distance_From_Average,Good/Poor,Good_PC_Avg,Poor_PC_Avg,Good_Ascent_Avg,Poor_Ascent_Avg,Good_Descent_Avg,Poor_Descent_Avg
2275,33,M,30-39,M30-39,46.5166666666667,32.35,78.8666666666667,0.589814032121724,4,4,2,2,0.924528301886792,0.875,0.857142857142857,0.714285714285714,2002,39,39,13,13,0.964896489648965,0.935537190082645,0.961309523809524,0.922619047619048,2,1,1,78.915,-0.048333333333332,Good,0.589814032121724,0.606821731605386,46.5166666666667,47.9166666666667,32.35,31.0466666666667
2183,21,M,20-29,M20-29,63.3333333333333,39.9,103.233333333333,0.613496932515337,23,18,11,9,0.589285714285714,0.379310344827586,0.521739130434783,0.181818181818182,2011,393,316,132,107,0.646264626462646,0.47603305785124,0.523465703971119,0.256944444444444,2,2,2,100.876666666667,2.35666666666667,Poor,0.593788063337393,0.613496932515337,58.5,63.3333333333333,40.02,39.9
2183,20,M,20-29,M20-29,58.5,40.02,98.52,0.593788063337393,12,9,7,5,0.707317073170732,0.55,0.611111111111111,0.375,2010,299,253,101,88,0.730873087308731,0.581818181818182,0.635379061371841,0.388888888888889,2,1,1,100.876666666667,-2.35666666666665,Good,0.593788063337393,0.613496932515337,58.5,63.3333333333333,40.02,39.9
2177,48,M,40-49,M40-49,64.9,40.4166666666667,105.316666666667,0.61623674632062,33,27,6,6,0.641304347826087,0.425531914893617,0.727272727272727,0.5,2017,435,336,94,77,0.608460846084608,0.444628099173554,0.639846743295019,0.468965517241379,2,1,1,113.054166666667,-7.7375,Good,0.61623674632062,0.599931010693343,64.9,72.4666666666667,40.4166666666667,48.325
2177,49,M,40-49,M40-49,72.4666666666667,48.325,120.791666666667,0.599931010693343,50,32,10,6,0.397590361445783,0.319148936170213,0.545454545454545,0.538461538461538,2018,689,463,149,107,0.37983798379838,0.234710743801653,0.42911877394636,0.262068965517241,2,2,2,113.054166666667,7.7375,Poor,0.61623674632062,0.599931010693343,64.9,72.4666666666667,40.4166666666667,48.325
2110,20,M,20-29,M20-29,50.3,31.5666666666667,81.8666666666667,0.614413680781759,8,8,7,7,0.89873417721519,0.822222222222222,0.631578947368421,0.363636363636364,2012,69,69,32,32,0.937893789378938,0.88595041322314,0.884476534296029,0.777777777777778,2,1,1,83.34825,-1.48158333333333,Good,0.614413680781759,0.618886044414406,50.3,52.5,31.5666666666667,32.3298333333333
2110,28,M,20-29,M20-29,52.5,32.3298333333333,84.8298333333333,0.618886044414406,10,10,3,3,0.871794871794872,0.761904761904762,0.823529411764706,0.625,2020,96,94,42,42,0.913591359135914,0.844628099173554,0.848375451263538,0.708333333333333,2,2,2,83.34825,1.48158333333332,Poor,0.614413680781759,0.618886044414406,50.3,52.5,31.5666666666667,32.3298333333333
2071,20,M,20-29,M20-29,63.9333333333333,40.05,103.983333333333,0.614842122134958,29,25,14,11,0.684782608695652,0.468085106382979,0.363636363636364,0.153846153846154,2017,409,323,139,109,0.631863186318632,0.466115702479339,0.498194945848375,0.243055555555556,2,1,1,106.475833333333,-2.49249999999999,Good,0.614842122134958,0.629693641883728,63.9333333333333,68.6166666666667,40.05,40.3516666666666
2071,21,M,20-29,M20-29,68.6166666666667,40.3516666666666,108.968333333333,0.629693641883728,32,26,10,7,0.614457831325301,0.446808510638298,0.444444444444444,0.125,2018,502,368,161,114,0.548154815481548,0.391735537190083,0.418772563176895,0.208333333333333,2,2,2,106.475833333333,2.49249999999999,Poor,0.614842122134958,0.629693641883728,63.9333333333333,68.6166666666667,40.05,40.3516666666666
2030,27,F,20-29,F20-29,82.8833333333333,48.494,131.377333333333,0.630880009742929,53,21,11,6,0.320512820512821,0.416666666666667,0.352941176470588,0.333333333333333,2020,835,315,232,98,0.248424842484248,0.377470355731225,0.162454873646209,0.263157894736842,2,1,2,136.045333333333,-4.66800000000001,Good,0.630880009742929,0.606196996257166,82.8833333333333,85.3,48.494,55.4133333333334
2030,25,F,20-29,F20-29,85.3,55.4133333333334,140.713333333333,0.606196996257166,70,28,18,10,0.156626506024096,0.222222222222222,0,0,2018,953,394,253,114,0.142214221422142,0.221343873517787,0.0866425992779783,0.142857142857143,2,2,1,136.045333333333,4.66799999999998,Poor,0.630880009742929,0.606196996257166,82.8833333333333,85.3,48.494,55.4133333333334
2004,23,F,20-29,F20-29,71.1333333333333,48.25,119.383333333333,0.595839731955884,26,8,12,5,0.469387755102041,0.619047619047619,0.294117647058824,0.444444444444444,2003,669,215,202,73,0.397839783978398,0.575098814229249,0.270758122743682,0.451127819548872,2,1,1,132.266666666667,-12.8833333333333,Good,0.595839731955884,0.595361120679757,71.1333333333333,86.4166666666667,48.25,58.7333333333333
2004,24,F,20-29,F20-29,86.4166666666667,58.7333333333333,145.15,0.595361120679757,47,19,12,6,0.0784313725490196,0.0952380952380952,0,0,2004,983,420,260,121,0.115211521152115,0.1699604743083,0.0613718411552347,0.0902255639097744,2,2,2,132.266666666667,12.8833333333333,Poor,0.595839731955884,0.595361120679757,71.1333333333333,86.4166666666667,48.25,58.7333333333333
1998,33,M,30-39,M30-39,49.3333333333333,30.685,80.0183333333333,0.616525379600508,2,2,1,1,0.951219512195122,0.9,0.909090909090909,0.857142857142857,2010,48,48,18,18,0.956795679567957,0.920661157024793,0.946428571428571,0.892857142857143,2,1,1,80.3508333333333,-0.33250000000001,Good,0.616525379600508,0.613716174344144,49.3333333333333,49.5166666666667,30.685,31.1666666666667
1998,36,M,30-39,M30-39,49.5166666666667,31.1666666666667,80.6833333333333,0.613716174344144,5,5,3,3,0.926470588235294,0.84375,0.884615384615385,0.785714285714286,2013,58,58,24,24,0.947794779477948,0.904132231404959,0.928571428571429,0.857142857142857,2,2,2,80.3508333333333,0.332499999999996,Poor,0.616525379600508,0.613716174344144,49.3333333333333,49.5166666666667,30.685,31.1666666666667
1996,35,F,30-39,F30-39,72.6666666666667,43.6666666666667,116.333333333333,0.624641833810888,53,16,19,6,0.329113924050633,0.529411764705882,0.296296296296296,0.571428571428571,2012,617,188,214,75,0.444644464446445,0.628458498023715,0.363095238095238,0.553571428571429,2,1,1,121.283333333333,-4.94999999999999,Good,0.624641833810888,0.616318986004753,72.6666666666667,77.8,43.6666666666667,48.4333333333333
1996,40,F,40-49,F40-49,77.8,48.4333333333333,126.233333333333,0.616318986004753,56,20,10,3,0.391304347826087,0.533333333333333,0.545454545454545,0.7,2017,768,272,164,51,0.308730873087309,0.460474308300395,0.371647509578544,0.560344827586207,2,2,2,121.283333333333,4.94999999999997,Poor,0.624641833810888,0.616318986004753,72.6666666666667,77.8,43.6666666666667,48.4333333333333
1965,36,F,30-39,F30-39,65.2833333333333,40.6166666666667,105.9,0.616462071136292,22,4,5,3,0.568627450980392,0.80952380952381,0.583333333333333,0.625,2004,443,104,156,46,0.601260126012601,0.794466403162055,0.535714285714286,0.726190476190476,2,1,1,108.985,-3.08500000000001,Good,0.616462071136292,0.620296838285595,65.2833333333333,69.5166666666667,40.6166666666667,42.5533333333333
1965,42,F,40-49,F40-49,69.5166666666667,42.5533333333333,112.07,0.620296838285595,26,10,3,3,0.365853658536585,0.523809523809524,0.4,0,2010,561,158,119,27,0.495049504950495,0.687747035573123,0.544061302681992,0.767241379310345,2,2,2,108.985,3.08499999999999,Poor,0.616462071136292,0.620296838285595,65.2833333333333,69.5166666666667,40.6166666666667,42.5533333333333
1944,51,F,50-59,F50-59,72.05,45.1166666666667,117.166666666667,0.614935988620199,55,18,5,1,0.30379746835443,0.470588235294118,0.583333333333333,0.8,2012,630,194,56,8,0.432943294329433,0.616600790513834,0.638709677419355,0.884057971014493,3,1,2,122.962777777778,-5.7961111111111,Good,0.616312973257178,0.59725111346495,73.4333333333333,78,45.7116666666667,52.5983333333333
1944,50,F,50-59,F50-59,74.8166666666667,46.3066666666667,121.123333333333,0.617689957894157,41,15,4,1,0.267857142857143,0.444444444444444,0.2,0.5,2011,694,229,71,16,0.375337533753375,0.547430830039526,0.541935483870968,0.768115942028985,3,2,1,122.962777777778,-1.83944444444444,Good,0.616312973257178,0.59725111346495,73.4333333333333,78,45.7116666666667,52.5983333333333
1944,58,F,50-59,F50-59,78,52.5983333333333,130.598333333333,0.59725111346495,68,25,5,3,0.276595744680851,0.404761904761905,0.5,0.5,2019,823,308,88,25,0.259225922592259,0.391304347826087,0.432258064516129,0.63768115942029,3,3,3,122.962777777778,7.63555555555556,Poor,0.616312973257178,0.59725111346495,73.4333333333333,78,45.7116666666667,52.5983333333333
1941,24,M,20-29,M20-29,50.1166666666667,31.2333333333333,81.35,0.616062282319197,3,3,1,1,0.941176470588235,0.9,0.916666666666667,0.833333333333333,2004,63,63,27,27,0.943294329432943,0.894214876033058,0.902527075812274,0.8125,2,2,1,80.8083333333333,0.541666666666671,Poor,0.604235880398671,0.616062282319197,48.5,50.1166666666667,31.7666666666667,31.2333333333333
1941,25,M,20-29,M20-29,48.5,31.7666666666667,80.2666666666667,0.604235880398671,2,2,1,1,0.961538461538462,0.942857142857143,0.928571428571429,0.875,2005,50,50,24,24,0.954995499549955,0.917355371900826,0.913357400722022,0.833333333333333,2,1,2,80.8083333333333,-0.541666666666671,Good,0.604235880398671,0.616062282319197,48.5,50.1166666666667,31.7666666666667,31.2333333333333
1934,36,M,30-39,M30-39,49.05,29.55,78.6,0.624045801526717,2,2,2,2,0.96875,0.9375,0.91304347826087,0.866666666666667,2016,37,37,11,11,0.966696669666967,0.938842975206612,0.967261904761905,0.93452380952381,4,1,2,79.391,-0.790999999999983,Good,0.625163894071809,0.618084093476018,49.3583333333333,49.3416666666667,29.5936666666667,30.4883333333333
1934,40,M,40-49,M40-49,49.6666666666666,29.6373333333334,79.304,0.6262819866169,5,5,2,2,0.935897435897436,0.880952380952381,0.888888888888889,0.75,2020,42,42,6,6,0.962196219621962,0.930578512396694,0.977011494252874,0.958620689655172,4,2,4,79.391,-0.0869999999999891,Good,0.625163894071809,0.618084093476018,49.3583333333333,49.3416666666667,29.5936666666667,30.4883333333333
1934,34,M,30-39,M30-39,49.6666666666667,30.1666666666667,79.8333333333333,0.622129436325679,4,4,2,2,0.950617283950617,0.902439024390244,0.939393939393939,0.857142857142857,2014,46,46,16,16,0.958595859585959,0.922314049586777,0.949404761904762,0.898809523809524,4,4,1,79.391,0.442333333333323,Poor,0.625163894071809,0.618084093476018,49.3583333333333,49.3416666666667,29.5936666666667,30.4883333333333
1934,39,M,30-39,M30-39,49.0166666666667,30.81,79.8266666666667,0.614038750626357,6,6,4,4,0.936170212765957,0.884615384615385,0.888888888888889,0.80952380952381,2019,45,45,15,15,0.95949594959496,0.925619834710744,0.955357142857143,0.910714285714286,4,3,3,79.391,0.435666666666677,Poor,0.625163894071809,0.618084093476018,49.3583333333333,49.3416666666667,29.5936666666667,30.4883333333333
1914,39,F,30-39,F30-39,71.1,47.9,119,0.597478991596639,44,14,19,6,0.352941176470588,0.611111111111111,0.269230769230769,0.5,2013,655,207,224,79,0.41044104410441,0.588932806324111,0.333333333333333,0.529761904761905,8,1,1,143.846,-24.846,Good,0.594138941330609,0.570126301145428,77.7666666666667,94.1555555555556,53.277,71.0276666666667
1914,40,F,40-49,F40-49,76.5,49.6333333333333,126.133333333333,0.606501057082452,63,26,13,6,0.222222222222222,0.35,0.315789473684211,0.4,2014,766,271,163,50,0.310531053105311,0.464426877470356,0.375478927203065,0.568965517241379,8,2,2,143.846,-17.7126666666667,Good,0.594138941330609,0.570126301145428,77.7666666666667,94.1555555555556,53.277,71.0276666666667
